order_id,payment_sequential,payment_type,payment_installments,payment_value
b81ef226f3fe1789b1e8b2acac839d17,1,credit_card,8,99.33
d0a945f85ba1074b60aac97ade7e240e,1,credit_card,2,541.0
5d9c5817e278892b7498d90bfa28ade8,1,credit_card,2,290.16
f86f6472fa9f395d8d9a6751ca118afb,1,credit_card,1,64.03
1dcf0c8cd36ffaf57784fbdc90079310,1,credit_card,3,157.15
2e2c60b99754ae1e4d8b18846cfec9f2,1,credit_card,4,542.66
10af96a0689260134307879127ac1952,1,credit_card,2,113.2
60e43c5f5ba559d9dd19357ed72cb2f2,1,credit_card,2,78.3
8e47a04b25d7a7075064e8e0bd2e0318,1,credit_card,1,37.61
fb1a2a1296f822405a946cbdfc0d3ed6,1,credit_card,3,34.78
d60a89ab9bc1e68834465ae630c3343e,1,credit_card,2,115.59
46ee6eaca194413758f200a6974b7e4d,1,credit_card,3,71.99
82ffe097d8ddbf319a523b9bbe7725d5,2,voucher,1,30.0
82ffe097d8ddbf319a523b9bbe7725d5,3,voucher,1,20.0
82ffe097d8ddbf319a523b9bbe7725d5,1,voucher,1,25.0
82ffe097d8ddbf319a523b9bbe7725d5,4,voucher,1,18.49
5e5d1342989d05440629e2162fa52d07,1,credit_card,1,48.61
242e24b7eaa9f48cde9d679f8591124d,1,credit_card,4,236.66
1594012ccc1b0770373ce691d697e5ae,1,credit_card,8,362.17
67c8c2016ddabf0059783eb44e921f99,1,boleto,1,68.54
66f249e4d7ab2f3872de7bd6d74719dd,1,credit_card,8,348.77
37fc44460574b368fe7933c6ae98f224,1,credit_card,1,47.43
76b8568803f110a59ece4167463a4a7e,1,debit_card,1,76.39
32d8aa395f9c9f357e1e3f7b214b9082,1,credit_card,1,103.68
cf8ace9395d2ee06b4b513df8ba682b3,1,credit_card,1,52.38
d189b98b9c4f5325db664c5455fe927c,1,credit_card,1,341.58
5b2f1ff03b77977af4258e7cfc2ec799,1,credit_card,1,260.57
99396be04e138247e9fc0528a62e0919,1,credit_card,1,56.06
0fe5bc7345e72628330234915ed373bd,1,boleto,1,106.85
6760e20addcf0121e9d58f2f1ff14298,1,credit_card,6,88.78
3be1b5820b7f93acc617a3b680f37c91,1,credit_card,5,349.99
cbb39c59f8084f27c248bd5c3a1cde7b,1,boleto,1,244.35
cb666a5ed3eec739fae136c3da8552c7,1,credit_card,4,264.67
725bd1c01a213e4ac7999d74cc9da874,1,credit_card,1,58.38
83c55d64c56ad16ba3c0f7858cd709d0,1,credit_card,8,408.66
5ff78652a040431e007c9349249d3503,1,credit_card,2,386.46
c596d8640962b115481b374c7b881f6a,1,credit_card,2,162.83
394eefeb1d359eb230a22ba3bd68f072,1,credit_card,1,172.92
60bcba6747ee878b9007f61275f4cd1f,1,debit_card,1,265.41
0b3d8a1bbaa4e340e25adfd640f70308,1,credit_card,12,190.09
5b2e70f861de8953b06ea667adc2eb4e,1,credit_card,3,258.71
474c0bedc28c30c7568c589c047b75bb,1,credit_card,1,102.53
f0ea851516ffb7fbea588f7d200e3d43,1,boleto,1,93.64
a03080d29751000dd3e2eab48835af82,1,credit_card,3,62.22
6c949e670b5d33dc8fb8ad25b6da4860,1,credit_card,10,102.47
44f9bb85e9dfb3f106dd017fbd8b8006,1,credit_card,3,134.12
a9096f7f0b61e8a65ae29ece51a43d03,1,boleto,1,108.68
209addb62d4e3c8c3e8b364d841b4d58,1,credit_card,1,68.87
05c5f6468206cec16a8c99f231bbbe86,1,credit_card,5,161.88
ee482a8248d67e42aa1105d14a941a47,1,credit_card,2,150.52
a65211639143a90d6cb4116d808b1823,1,boleto,1,730.95
5a409b9e0ab85bdafd5a5b75f4571b7a,1,credit_card,2,31.29
7056ed3b6f11b379db7915d1f6a69ad9,1,credit_card,1,38.13
c943bc78c323d9a46208210c587c2ce4,1,credit_card,1,21.04
539a1383b0bd9b963044945e607f1aca,1,credit_card,3,188.06
e1edd95bfd88243a6d6b774d8aefe535,1,credit_card,4,181.59
3bfd863aeb764ee13e7a3909ca8be2a5,2,voucher,1,50.0
3bfd863aeb764ee13e7a3909ca8be2a5,1,credit_card,1,20.27
205587440f824c5e5d7bc3bccb63aa15,1,credit_card,10,569.66
524ea0422eabccf15e4af385f6b153d6,1,credit_card,1,36.59
67976860fdf683e7bdb13c4f907a982e,1,credit_card,7,163.69
0b365bbd59e2f75bea276c81bb916dcb,1,credit_card,1,2.78
0b365bbd59e2f75bea276c81bb916dcb,2,voucher,1,19.51
f44117f1303c4e6573d463bdedff85de,1,credit_card,3,114.85
7699e05f3c451052397a0248cf24a821,1,credit_card,3,88.9
d10d28ad0c77f6e4e64642c7069a9f80,1,credit_card,1,43.37
482df43f85d48add2d83b40f3737062d,1,credit_card,1,70.36
af090d1b9b5c1f684bc6a48f6525e97c,1,credit_card,2,42.75
4e27ad7f1a6821ceddc8442eb1875014,1,credit_card,1,69.67
90181a7780a0fa0a32d7449931661c2b,1,credit_card,1,67.23
15623f35d6d5eaa2fcd185a613927e86,1,boleto,1,131.8
69e0526abe64c820d4dd97f2b9921e60,1,credit_card,1,27.79
ce4c70f737d1a9edba23290f6031d076,1,boleto,1,117.38
b45e0eedd6fb6570b2fc15416a437431,1,credit_card,1,76.29
5454971549d855538eb746e4d263f9a5,2,voucher,1,188.93
5454971549d855538eb746e4d263f9a5,1,voucher,1,65.51
93d1fcee477966a088fa92cae7c8a488,1,credit_card,8,237.54
b0bf00faa32149ac7d0400f67ce3d3b0,1,credit_card,1,25.05
9b9a93b680e8808b6da57cbfb3836a62,1,credit_card,6,121.68
d4a1728b95d69bdf0bb9dae4bce1d666,1,boleto,1,71.81
2ce188fdc7fb58e72c2adeedc6419827,1,credit_card,6,190.83
80d9c03bcaef317e3d2ad8d6fe48538d,1,credit_card,3,151.83
c8a767e16f523557f80cceef9f5ac88f,1,credit_card,5,245.51
64b281751527cf3da5d9eb68c785cedf,1,credit_card,1,125.22
2b8e4a06dca9d5c4071575613d7a5037,1,boleto,1,44.34
2c0e90a2bdcffa59af23fe752aa40541,1,boleto,1,218.27
6db17d1984cf4ba781756524332520da,1,credit_card,2,144.76
b87bff2c2c7ce847dc3c9459a117c3b5,1,boleto,1,164.55
e715706f59e1a868d0a2e36af571a899,1,voucher,1,191.09
3f6484ca65eed5c701aa5e348623537f,1,boleto,1,157.78
4be09db4d90c87cf6a402ab9bc6f48da,1,credit_card,8,94.59
0464277e582666bde336336fd5fb9ff8,1,credit_card,10,158.98
f66b2f5f778a4ba2ab4b97679dd30f64,1,credit_card,2,118.43
249e44947c66e3b0e46b3ba2f38d846d,1,credit_card,2,138.74
fe642627ef34edffd9e897365f2d0449,1,credit_card,2,63.74
50aee6309ac7a0d4fd5c78ac0d4e5404,1,boleto,1,277.48
7192fdda583a1beb9274f8693cee679d,1,credit_card,6,162.55
a1bb68068326efb8e9c0bfa0e0a02466,1,credit_card,5,50.95
4b007a72f108b589a20227ab419705c9,1,boleto,1,36.38
8a37cae0305cc1e69d6f5d0629719e9a,1,credit_card,2,73.27
2c1440ef98f5dc82a9936f1e55acecd9,1,credit_card,1,118.09
b170f1243a620b65504157b83f69a2e0,1,credit_card,3,80.15
1266f3e39be1dedd482da8b623328821,1,credit_card,1,31.73
620b5f7f730ead80c8dba1202716a29f,6,voucher,1,9.39
620b5f7f730ead80c8dba1202716a29f,2,voucher,1,9.39
620b5f7f730ead80c8dba1202716a29f,5,voucher,1,9.39
620b5f7f730ead80c8dba1202716a29f,7,voucher,1,8.79
620b5f7f730ead80c8dba1202716a29f,3,voucher,1,9.39
620b5f7f730ead80c8dba1202716a29f,4,voucher,1,9.39
620b5f7f730ead80c8dba1202716a29f,1,voucher,1,9.39
0d2f476fd2a5f059f8b4e36bc04d54ac,1,credit_card,1,60.3
e807a70014b92cf251b7b8f3768b023f,1,credit_card,6,67.88
9416d46f37f3852f96df822e953ff6c5,1,credit_card,1,198.4
028e8f5a96db8d372890e03d22829e9b,1,credit_card,1,20.75
70aae84b2facb982a1867a6793603919,1,credit_card,2,198.13
d56851f342ee399d61852bdcd356a663,1,credit_card,1,187.87
3a46c264be2fad6d10c5a7362d8cc2ff,1,credit_card,3,188.69
75b1a5c661cf89c511ec6ec5da5c4c8e,1,boleto,1,58.13
3c58bffb70dcf45f12bdf66a3c215905,10,voucher,1,1.85
3c58bffb70dcf45f12bdf66a3c215905,11,voucher,1,12.86
3c58bffb70dcf45f12bdf66a3c215905,4,voucher,1,5.1
3c58bffb70dcf45f12bdf66a3c215905,1,voucher,1,2.26
3c58bffb70dcf45f12bdf66a3c215905,9,voucher,1,7.94
3c58bffb70dcf45f12bdf66a3c215905,3,voucher,1,3.88
3c58bffb70dcf45f12bdf66a3c215905,12,voucher,1,8.23
3c58bffb70dcf45f12bdf66a3c215905,2,voucher,1,3.36
3c58bffb70dcf45f12bdf66a3c215905,6,voucher,1,29.55
3c58bffb70dcf45f12bdf66a3c215905,7,voucher,1,11.59
3c58bffb70dcf45f12bdf66a3c215905,13,voucher,1,2.26
3c58bffb70dcf45f12bdf66a3c215905,14,voucher,1,3.64
3c58bffb70dcf45f12bdf66a3c215905,5,voucher,1,1.85
3c58bffb70dcf45f12bdf66a3c215905,8,voucher,1,6.2
91f8127396bfce32461d286408e16167,1,credit_card,1,123.67
84a7061cdc4f24ab1aa024c9bd595b6f,1,credit_card,1,67.22
ca8909b3f3d130ce4d68392541e91800,1,credit_card,3,217.09
511792104eb626cc6881f7831561265c,1,credit_card,10,419.3
236f12cdb8ad031ef9dccb5cdae83ce2,1,credit_card,1,37.37
048cb31a5449d208f197f1fe7b617c3c,1,credit_card,3,84.42
b71ae2d7677a2cb21e4d19ac1141e7b3,1,credit_card,1,89.36
d495dd3f39ec305acc17bcb39712f772,1,credit_card,1,71.29
2187a89df025d844e72cfc51e29dcd6c,1,boleto,1,31.13
73462226b9dad0fb514e39b1ee832193,1,credit_card,2,228.41
3160f9fa13bf36dda5ba225649526968,1,credit_card,2,172.19
dbc94ce4ff22c2daba89640dacc43949,1,credit_card,1,58.63
ca5fde2f82e0bb2a7e7727f165b28abe,1,credit_card,1,24.38
3311b1573fa138150d43e80f46c7d1cb,1,credit_card,1,117.46
1a0ce44b1b78ab7a0abb0bdf7062b2c4,1,credit_card,2,98.7
1f70d88d8d6e9880a9e50ee78420c24c,1,credit_card,8,134.46
f61d8df3d4314897d9ddc27cf6b94bb5,1,credit_card,1,207.24
